English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
DENTAL GROWTH,,,,"The gum hardens and bulges out ,  a warm cheek (on the side where the tooth pushes) ,  a grumpy ,  agitated child . . . Chamomilla Vulgaris 9 CHGive 3 granules of each medicine ,  crushed in a clean cloth with a rolling pin ,  and put  the obtained powder on the baby\u2019s tongue ,  3 times per day (in the morning ,  at lunchtime and in the evening) ,  until healing.  The infant\u2019s feverA rectal temperature above 38\u00b0C. Belladonna 9 CH in case of fever with sweating , Aconitum Napellus 9 CH in case of \u00ab dry \u00bb fever , Give one of the remedies ,  hourly - 3 granules (crushed in a clean cloth with a rolling pin ,  and put the obtained powder on the baby\u2019s tongue). ",Dental Growth,"The Gum Hardens And Bulges Out ,  A Warm Cheek (On The Side Where The Tooth Pushes) ,  A Grumpy ,  Agitated Child . . . Chamomilla Vulgaris 9 Chgive 3 Granules Of Each Medicine ,  Crushed In A Clean Cloth With A Rolling Pin ,  And Put  The Obtained Powder On The Baby\U2019S Tongue ,  3 Times Per Day (In The Morning ,  At Lunchtime And In The Evening) ,  Until Healing.  The Infant\U2019S Fevera Rectal Temperature Above 38\U00B0C. Belladonna 9 Ch In Case Of Fever With Sweating , Aconitum Napellus 9 Ch In Case Of \U00Ab Dry \U00Bb Fever , Give One Of The Remedies ,  Hourly - 3 Granules (Crushed In A Clean Cloth With A Rolling Pin ,  And Put The Obtained Powder On The Baby\U2019S Tongue). ","The Gum Hardens And Bulges Out , A Warm Cheek (On The Side Where The Tooth Pushes) , A Grumpy , Agitated Child . . . Chamomilla Vulgaris 9 Chgive 3 Granules Of Each Medicine , Crushed In A Clean Cloth With A Rolling Pin , And Put The Obtained Powder On The Baby\U2019S Tongue , 3 Times Per Day (In The Morning , At Lunchtime And In The Evening) , Until Healing. The Infant\U2019S Fevera Rectal Temperature Above 38\U00B0C. Belladonna 9 Ch In Case Of Fever With Sweating , Aconitum Napellus 9 Ch In Case Of \U00Ab Dry \U00Bb Fever , Give One Of The Remedies , Hourly - 3 Granules (Crushed In A Clean Cloth With A Rolling Pin , And Put The Obtained Powder On The Baby\U2019S Tongue)."
DENTAL PAINS,,,,Arnica  Chamomilla and Coffea are used for treating pains after extraction. To accelerate recovery  take Hypericum 15 or 30CH  5 granules every two hours  spacing medication according to improvement.  Pain forms -Arsenicum Album 7CH - pains improved by warm water. Chamomilla 9CH - very violent  unbearable painsCoffea 7CH - pains improved by cold waterMercurius Solubilis 9CH - pains improved by rubbing his cheeks. Staphysagria 9CH - tooth pains during menstruation. ,Dental Pains,Arnica  Chamomilla And Coffea Are Used For Treating Pains After Extraction. To Accelerate Recovery  Take Hypericum 15 Or 30Ch  5 Granules Every Two Hours  Spacing Medication According To Improvement.  Pain Forms -Arsenicum Album 7Ch - Pains Improved By Warm Water. Chamomilla 9Ch - Very Violent  Unbearable Painscoffea 7Ch - Pains Improved By Cold Watermercurius Solubilis 9Ch - Pains Improved By Rubbing His Cheeks. Staphysagria 9Ch - Tooth Pains During Menstruation. ,Arnica Chamomilla And Coffea Are Used For Treating Pains After Extraction. To Accelerate Recovery Take Hypericum 15 Or 30Ch 5 Granules Every Two Hours Spacing Medication According To Improvement. Pain Forms -Arsenicum Album 7Ch - Pains Improved By Warm Water. Chamomilla 9Ch - Very Violent Unbearable Painscoffea 7Ch - Pains Improved By Cold Watermercurius Solubilis 9Ch - Pains Improved By Rubbing His Cheeks. Staphysagria 9Ch - Tooth Pains During Menstruation.
DEPRESSIVE REACTION SYNDROME,,,,For treating  mild depressions following a bereavement or an annoyance  take 5 granules of Ignatia 9 CH after meals  3 times a day.  For reducing an intellectual overwork and fighting against loss of memory  it is appropriate to take 5 granules of Kalium phosphoricum 9 CH.  Arsenicum album 9 CH is adapted against anxiety.  In this case  it is recommneded to take 5 granules  3 times per day  after meals.  For regaining confidance and fighting against permanent feeling of failure  Aurun metallicum 9 CH is the adapted remedy  in an amount of 5 granules 3 times per day.  For relieving hysterical crisis  take 5 granules of Ignatia 9 CH  3 times per day.  Natrum muriaticum 9 CH is indicated for persons suffering from weight loss and excessive thirst. Other treatments -It happens that some of the depressive persons have troubles in crying and can not stand to be consoled.  In this case  it is appropriate to take 5 granules of Natrum muriaticum 9 CH.  If  on the contrary  they only feel better by being accompanied and consoled by the others  they can take 5 granules of Arsenicum album 9 CH in order to help them overcome this addiction.  Those who become even more depressed when hearing music  can take 5 granules of Natrum sulfuricum 9 CH.  In case the disorders can not be relieved only by eating  it is appropriate to take 5 granules of Anacardium orientale 9 CH. ,Depressive Reaction Syndrome,For Treating  Mild Depressions Following A Bereavement Or An Annoyance  Take 5 Granules Of Ignatia 9 Ch After Meals  3 Times A Day.  For Reducing An Intellectual Overwork And Fighting Against Loss Of Memory  It Is Appropriate To Take 5 Granules Of Kalium Phosphoricum 9 Ch.  Arsenicum Album 9 Ch Is Adapted Against Anxiety.  In This Case  It Is Recommneded To Take 5 Granules  3 Times Per Day  After Meals.  For Regaining Confidance And Fighting Against Permanent Feeling Of Failure  Aurun Metallicum 9 Ch Is The Adapted Remedy  In An Amount Of 5 Granules 3 Times Per Day.  For Relieving Hysterical Crisis  Take 5 Granules Of Ignatia 9 Ch  3 Times Per Day.  Natrum Muriaticum 9 Ch Is Indicated For Persons Suffering From Weight Loss And Excessive Thirst. Other Treatments -It Happens That Some Of The Depressive Persons Have Troubles In Crying And Can Not Stand To Be Consoled.  In This Case  It Is Appropriate To Take 5 Granules Of Natrum Muriaticum 9 Ch.  If  On The Contrary  They Only Feel Better By Being Accompanied And Consoled By The Others  They Can Take 5 Granules Of Arsenicum Album 9 Ch In Order To Help Them Overcome This Addiction.  Those Who Become Even More Depressed When Hearing Music  Can Take 5 Granules Of Natrum Sulfuricum 9 Ch.  In Case The Disorders Can Not Be Relieved Only By Eating  It Is Appropriate To Take 5 Granules Of Anacardium Orientale 9 Ch. ,For Treating Mild Depressions Following A Bereavement Or An Annoyance Take 5 Granules Of Ignatia 9 Ch After Meals 3 Times A Day. For Reducing An Intellectual Overwork And Fighting Against Loss Of Memory It Is Appropriate To Take 5 Granules Of Kalium Phosphoricum 9 Ch. Arsenicum Album 9 Ch Is Adapted Against Anxiety. In This Case It Is Recommneded To Take 5 Granules 3 Times Per Day After Meals. For Regaining Confidance And Fighting Against Permanent Feeling Of Failure Aurun Metallicum 9 Ch Is The Adapted Remedy In An Amount Of 5 Granules 3 Times Per Day. For Relieving Hysterical Crisis Take 5 Granules Of Ignatia 9 Ch 3 Times Per Day. Natrum Muriaticum 9 Ch Is Indicated For Persons Suffering From Weight Loss And Excessive Thirst. Other Treatments -It Happens That Some Of The Depressive Persons Have Troubles In Crying And Can Not Stand To Be Consoled. In This Case It Is Appropriate To Take 5 Granules Of Natrum Muriaticum 9 Ch. If On The Contrary They Only Feel Better By Being Accompanied And Consoled By The Others They Can Take 5 Granules Of Arsenicum Album 9 Ch In Order To Help Them Overcome This Addiction. Those Who Become Even More Depressed When Hearing Music Can Take 5 Granules Of Natrum Sulfuricum 9 Ch. In Case The Disorders Can Not Be Relieved Only By Eating It Is Appropriate To Take 5 Granules Of Anacardium Orientale 9 Ch.
DIABETES,CALCAREA PHOSPHORICA 3X  FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF PAIN IN NIGHT THEN TAKESILICEA 12X ,,"CALCAREA PHOSPHORICA 3X  FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF PAIN IN NIGHT THEN TAKESILICEA 12X  , ",Diabetes1,"Calcarea Phosphorica 3X  Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Mix And Take 4Times A Day If Remedy Fails Try Remedy 2  , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Kali Muriaticum 3X Natrum Muriaticum 3X Mix And Take If Pain In Night Then Takesilicea 12X  , ","Calcarea Phosphorica 3X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Mix And Take 4Times A Day If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Kali Muriaticum 3X Natrum Muriaticum 3X Mix And Take If Pain In Night Then Takesilicea 12X ,"
DIABETES,,,,5 granules to suck at wake-up - Lycopodium 7CH and Sulfur 7CH.  On Sunday - Phosphorus 7CH 1 dose during several months.  Benign case-In the morning - alternate Uranium nitr.  5CH and Phosphoric Ac 5CH 5 granules. At bedtime - alternate Nux Vomica 5CH and Alloxane 5CH.  On Sunday evening- Glycerine 7CH one dose of Insuline 9CH.  On Thursday evening - Thuya 9CH to alternate with Natrum Sulf.  9CH,Diabetes,5 Granules To Suck At Wake-Up - Lycopodium 7Ch And Sulfur 7Ch.  On Sunday - Phosphorus 7Ch 1 Dose During Several Months.  Benign Case-In The Morning - Alternate Uranium Nitr.  5Ch And Phosphoric Ac 5Ch 5 Granules. At Bedtime - Alternate Nux Vomica 5Ch And Alloxane 5Ch.  On Sunday Evening- Glycerine 7Ch One Dose Of Insuline 9Ch.  On Thursday Evening - Thuya 9Ch To Alternate With Natrum Sulf.  9Ch,5 Granules To Suck At Wake-Up - Lycopodium 7Ch And Sulfur 7Ch. On Sunday - Phosphorus 7Ch 1 Dose During Several Months. Benign Case-In The Morning - Alternate Uranium Nitr. 5Ch And Phosphoric Ac 5Ch 5 Granules. At Bedtime - Alternate Nux Vomica 5Ch And Alloxane 5Ch. On Sunday Evening- Glycerine 7Ch One Dose Of Insuline 9Ch. On Thursday Evening - Thuya 9Ch To Alternate With Natrum Sulf. 9Ch
DIARRHEA,,,,3 granules to suck every quarter of an hour in case of a severe crisis  or 3 times per day in case the diarrhea is chronic.  Remedies will be selected according to symptoms  schedules and procedures <ul>Aconit 7CH - after a chill on the belly. Antimonium Crudum 7CH - after food excess.  Argentum Nitricum 9CH - after eating sugar or sweets.  Arsenicum Album 7CH - food poisoning.  Nux Vomica 7CH - after hair loss.  Gelsemium 9CH - emotional diarrhea.  Magnesia Muriatica 5CH - because of milk.  Nux Vomica 5CH - after alcohol excess or abuse of laxatives.  Pulsatilla 7CH - by fat foods or ice.  Veratrum Album 7CH - by fruits.  Croton 5CH - after taking antibiotics.  <\/ul>According to schedules - <ul>At wake-up - Sulfur 5CHAfter meals (with gas and spasms) - Aloe 5CH. <\/ul>According to symptoms - <ul>Diarrhea worsened after meals - Natrum Sulfuricum 5CH.  Diarrhea pulling the patient out of the bed - Sulfur 7CH.  With cramps and cold sweats - Veratrum Album 5CH According to stools appearance.  Mid solid and mid liquid stools - Antimonium Crudum 9CH.   Odorless  liquid  smelly  exhausting - China 5CH.  Yellow with bile- Podophyllum 4CH.  Discolored - Phosphoricum Acidum 7CH.  According to simultaneous disorders.  Diarrhea with involuntary stools  which you can not hold - Aloe 5CH.  Very bad smelling stools - Arsenicum Album 5CH.  With exhaustion after stool and painless - China 5CH.  With pains improved when bending - Colocynthis 5CH.  With burning stools and bilious vomiting- Iris Versicolor 5CH. <\/ul>,Diarrhoea,3 Granules To Suck Every Quarter Of An Hour In Case Of A Severe Crisis  Or 3 Times Per Day In Case The Diarrhea Is Chronic.  Remedies Will Be Selected According To Symptoms  Schedules And Procedures <Ul>Aconit 7Ch - After A Chill On The Belly. Antimonium Crudum 7Ch - After Food Excess.  Argentum Nitricum 9Ch - After Eating Sugar Or Sweets.  Arsenicum Album 7Ch - Food Poisoning.  Nux Vomica 7Ch - After Hair Loss.  Gelsemium 9Ch - Emotional Diarrhea.  Magnesia Muriatica 5Ch - Because Of Milk.  Nux Vomica 5Ch - After Alcohol Excess Or Abuse Of Laxatives.  Pulsatilla 7Ch - By Fat Foods Or Ice.  Veratrum Album 7Ch - By Fruits.  Croton 5Ch - After Taking Antibiotics.  <\/Ul>According To Schedules - <Ul>At Wake-Up - Sulfur 5Chafter Meals (With Gas And Spasms) - Aloe 5Ch. <\/Ul>According To Symptoms - <Ul>Diarrhea Worsened After Meals - Natrum Sulfuricum 5Ch.  Diarrhea Pulling The Patient Out Of The Bed - Sulfur 7Ch.  With Cramps And Cold Sweats - Veratrum Album 5Ch According To Stools Appearance.  Mid Solid And Mid Liquid Stools - Antimonium Crudum 9Ch.   Odorless  Liquid  Smelly  Exhausting - China 5Ch.  Yellow With Bile- Podophyllum 4Ch.  Discolored - Phosphoricum Acidum 7Ch.  According To Simultaneous Disorders.  Diarrhea With Involuntary Stools  Which You Can Not Hold - Aloe 5Ch.  Very Bad Smelling Stools - Arsenicum Album 5Ch.  With Exhaustion After Stool And Painless - China 5Ch.  With Pains Improved When Bending - Colocynthis 5Ch.  With Burning Stools And Bilious Vomiting- Iris Versicolor 5Ch. <\/Ul>,3 Granules To Suck Every Quarter Of An Hour In Case Of A Severe Crisis Or 3 Times Per Day In Case The Diarrhea Is Chronic. Remedies Will Be Selected According To Symptoms Schedules And Procedures <Ul>Aconit 7Ch - After A Chill On The Belly. Antimonium Crudum 7Ch - After Food Excess. Argentum Nitricum 9Ch - After Eating Sugar Or Sweets. Arsenicum Album 7Ch - Food Poisoning. Nux Vomica 7Ch - After Hair Loss. Gelsemium 9Ch - Emotional Diarrhea. Magnesia Muriatica 5Ch - Because Of Milk. Nux Vomica 5Ch - After Alcohol Excess Or Abuse Of Laxatives. Pulsatilla 7Ch - By Fat Foods Or Ice. Veratrum Album 7Ch - By Fruits. Croton 5Ch - After Taking Antibiotics. <\/Ul>According To Schedules - <Ul>At Wake-Up - Sulfur 5Chafter Meals (With Gas And Spasms) - Aloe 5Ch. <\/Ul>According To Symptoms - <Ul>Diarrhea Worsened After Meals - Natrum Sulfuricum 5Ch. Diarrhea Pulling The Patient Out Of The Bed - Sulfur 7Ch. With Cramps And Cold Sweats - Veratrum Album 5Ch According To Stools Appearance. Mid Solid And Mid Liquid Stools - Antimonium Crudum 9Ch. Odorless Liquid Smelly Exhausting - China 5Ch. Yellow With Bile- Podophyllum 4Ch. Discolored - Phosphoricum Acidum 7Ch. According To Simultaneous Disorders. Diarrhea With Involuntary Stools Which You Can Not Hold - Aloe 5Ch. Very Bad Smelling Stools - Arsenicum Album 5Ch. With Exhaustion After Stool And Painless - China 5Ch. With Pains Improved When Bending - Colocynthis 5Ch. With Burning Stools And Bilious Vomiting- Iris Versicolor 5Ch. <\/Ul>
DIARRHEAS,,,,"10 granules to dissolve in a small quantity of water.  CALCAREA CARBONICA 5CH - loves milk but can not tolerate it ,  slow digestion with regurgitation long after the meal .  yellow ,  acid diarrhea ; big baby.  IPECA 5CH - stools that turn green in the air.  MAGNESIA CARBONICA 5CH - diarrhea immediately after meal ,  colics improved by abundant emission of gases ; green ,  acid stools irritating seat ; sour odor of the whole body.  NATRUM PHOSPHORICUM 5CH - diarrhea with bloating in a hypotrophic baby. ",Diarrhoeas,"10 Granules To Dissolve In A Small Quantity Of Water.  Calcarea Carbonica 5Ch - Loves Milk But Can Not Tolerate It ,  Slow Digestion With Regurgitation Long After The Meal .  Yellow ,  Acid Diarrhea ; Big Baby.  Ipeca 5Ch - Stools That Turn Green In The Air.  Magnesia Carbonica 5Ch - Diarrhea Immediately After Meal ,  Colics Improved By Abundant Emission Of Gases ; Green ,  Acid Stools Irritating Seat ; Sour Odor Of The Whole Body.  Natrum Phosphoricum 5Ch - Diarrhea With Bloating In A Hypotrophic Baby. ","10 Granules To Dissolve In A Small Quantity Of Water. Calcarea Carbonica 5Ch - Loves Milk But Can Not Tolerate It , Slow Digestion With Regurgitation Long After The Meal . Yellow , Acid Diarrhea ; Big Baby. Ipeca 5Ch - Stools That Turn Green In The Air. Magnesia Carbonica 5Ch - Diarrhea Immediately After Meal , Colics Improved By Abundant Emission Of Gases ; Green , Acid Stools Irritating Seat ; Sour Odor Of The Whole Body. Natrum Phosphoricum 5Ch - Diarrhea With Bloating In A Hypotrophic Baby."
DIARRHOEA,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,,,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,Diarrhoea1,Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali  Sulphuricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrumsulphuricum 3X Mix In Water And  Give Many Times A Dayif Remedy Fails Try Remedy 2 ,Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrumsulphuricum 3X Mix In Water And Give Many Times A Dayif Remedy Fails Try Remedy 2
DIFFICULT DIGESTION,,,,Take 5 granules 3 times per day or more selected remedies  (before or after meals)  according to symptoms. Heaviness after meals- in case of a feeling of too full a stomach  with white tongue such as the milk spread over- Antimonium Crudum 7CH. of sensation of stone in the stomach - Bryonia 5CH. in case of a feeling of too full a stomach  with coated tongue in its posterior part - Nux Vomica 5CHBefore a frugal meal - Nux Vomica 5CH  5 granules half an hour before . ,Difficult Digestion,Take 5 Granules 3 Times Per Day Or More Selected Remedies  (Before Or After Meals)  According To Symptoms. Heaviness After Meals- In Case Of A Feeling Of Too Full A Stomach  With White Tongue Such As The Milk Spread Over- Antimonium Crudum 7Ch. Of Sensation Of Stone In The Stomach - Bryonia 5Ch. In Case Of A Feeling Of Too Full A Stomach  With Coated Tongue In Its Posterior Part - Nux Vomica 5Chbefore A Frugal Meal - Nux Vomica 5Ch  5 Granules Half An Hour Before . ,Take 5 Granules 3 Times Per Day Or More Selected Remedies (Before Or After Meals) According To Symptoms. Heaviness After Meals- In Case Of A Feeling Of Too Full A Stomach With White Tongue Such As The Milk Spread Over- Antimonium Crudum 7Ch. Of Sensation Of Stone In The Stomach - Bryonia 5Ch. In Case Of A Feeling Of Too Full A Stomach With Coated Tongue In Its Posterior Part - Nux Vomica 5Chbefore A Frugal Meal - Nux Vomica 5Ch 5 Granules Half An Hour Before .
DILATATION OF HEART,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X . AVOID OILY FOOD,,,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X . AVOID OILY FOOD,Dilatation Of Heart,Calcaria Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X . Avoid Oily Food,Calcaria Flouride 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X . Avoid Oily Food
DISLOCATION OF BONE,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MIX AND TAKE ,,"CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MIX AND TAKE  , ",Dislocation Of Bone,"Calcaria Flouride 3X Natrum Muriaticum 3X Mix And Take If Remedy Fails Try Remedy 2  , Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Mix And Take  , ","Calcaria Flouride 3X Natrum Muriaticum 3X Mix And Take If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Or 12X Calcarea Sulphuricum 3X Mix And Take ,"
DRY ECZEMA,,,,"ALUMINA 5CH - dry ,  wrinkled ,  cracked skin ,  heat rashes with violent itching.  ANTIMONIUM CRUDUM 5CH - hyperkeratotic fissured eczema ,  sometimes with small crusts.  ARSENICUM ALBUM 5CH - scaly skin with small whitish scales like a deposit of flour ,  with burning itching improved by warm applications.  BERBERIS 5CH - vine eczema with burning itching aggravated by scraping and dissappearing to the centre.  HYDROCOTYLE 5CH - dry eczema with thickening of the skin and unbearable itching.  NITRICUM ACIDUM 5CH - fissured eczema with stinging pains ,  the bottom of cracks tending to bleed ,  the skin is often yellowish around lesions.  PETROLEUM 5CH - cracked ,  fissured skin ,  itching worse at night and aggravated in winter time.  SULFUR 7CH - red ,  burning eruption ,  alternanting with other symptoms ,  lesions are aggravated by water and the warmth of bed",Dry Eczema,"Alumina 5Ch - Dry ,  Wrinkled ,  Cracked Skin ,  Heat Rashes With Violent Itching.  Antimonium Crudum 5Ch - Hyperkeratotic Fissured Eczema ,  Sometimes With Small Crusts.  Arsenicum Album 5Ch - Scaly Skin With Small Whitish Scales Like A Deposit Of Flour ,  With Burning Itching Improved By Warm Applications.  Berberis 5Ch - Vine Eczema With Burning Itching Aggravated By Scraping And Dissappearing To The Centre.  Hydrocotyle 5Ch - Dry Eczema With Thickening Of The Skin And Unbearable Itching.  Nitricum Acidum 5Ch - Fissured Eczema With Stinging Pains ,  The Bottom Of Cracks Tending To Bleed ,  The Skin Is Often Yellowish Around Lesions.  Petroleum 5Ch - Cracked ,  Fissured Skin ,  Itching Worse At Night And Aggravated In Winter Time.  Sulfur 7Ch - Red ,  Burning Eruption ,  Alternanting With Other Symptoms ,  Lesions Are Aggravated By Water And The Warmth Of Bed","Alumina 5Ch - Dry , Wrinkled , Cracked Skin , Heat Rashes With Violent Itching. Antimonium Crudum 5Ch - Hyperkeratotic Fissured Eczema , Sometimes With Small Crusts. Arsenicum Album 5Ch - Scaly Skin With Small Whitish Scales Like A Deposit Of Flour , With Burning Itching Improved By Warm Applications. Berberis 5Ch - Vine Eczema With Burning Itching Aggravated By Scraping And Dissappearing To The Centre. Hydrocotyle 5Ch - Dry Eczema With Thickening Of The Skin And Unbearable Itching. Nitricum Acidum 5Ch - Fissured Eczema With Stinging Pains , The Bottom Of Cracks Tending To Bleed , The Skin Is Often Yellowish Around Lesions. Petroleum 5Ch - Cracked , Fissured Skin , Itching Worse At Night And Aggravated In Winter Time. Sulfur 7Ch - Red , Burning Eruption , Alternanting With Other Symptoms , Lesions Are Aggravated By Water And The Warmth Of Bed"
DYSENTRY,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF DONT GET RELIEF IN 12 HOURS THEN TAKE ONLYCALCAREA  SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF DONT GET RELIEF IN 12 HOURS THEN TAKE ONLYCALCAREA  SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2  , CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE  , ",Dysentery,"Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take If Dont Get Relief In 12 Hours Then Take Onlycalcarea  Sulphuricum 3X If Remedy Fails Try Remedy 2  , Calcaria Flouride 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take  , ","Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take If Dont Get Relief In 12 Hours Then Take Onlycalcarea Sulphuricum 3X If Remedy Fails Try Remedy 2 , Calcaria Flouride 3X Kali Sulphuricum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Take ,"
DYSPEPSIA,CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURSIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X ,,"CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURSIF REMEDY FAILS TRY REMEDY 2  , CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X  , ",Dyspepsia,"Calcarea Sulphuricum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take At The Gap Of 3-3 Hoursif Remedy Fails Try Remedy 2  , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Silicea 12X  , ","Calcarea Sulphuricum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take At The Gap Of 3-3 Hoursif Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Or 12X Ferrum Phosphoricum 12X Kali Muriaticum 3X Magnesia Phosphorica 3X Natrum Phosphoricum 3X Silicea 12X ,"
