English,Remedy_1,Remedy_2,Remedy_3,Remedy
CRONIC DISEASE,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI  SULPHURICUM 3X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI  SULPHURICUM 3X MIX AND TAKE 
CRONIC HEART DISEASE,CALCARIA FLOURIDE 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,CALCARIA FLOURIDE 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 
CROUP,KALI SULPHURICUM 3X CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,"KALI SULPHURICUM 3X CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,"
CUTS,,,,"Thoroughly clean the wound, remove dirt and foreign matters, and use a classic disinfectant, then, for accelerating healing and relieving the cuts\u2019 pains : Take Staphysagria 30 CH."
"CUTS, SCRATCHES AND SCRAPES",,,,Clean the wound with soap and water  then apply  Calendula en pommade  says doctor Fleisher. In case of a painful scrape or scratch  it is recommended to thoroughly clean the wound with a mixture of 20 drops of Calendula tincture and 20 drops of Hypericum tincture dissolved in approximately 100 ml of water. Then  apply a sterile bandage soaked in this mixture  two or three times per day  until the wound is cured.
CYSTITIS,,,,Alternate the following granules 3 times per day  until disappearance of symptoms3 granules of COLIBACILLINUM 5 CH3 granules of SEPIA OFFICINALIS 5 CH3 granules of CANTHARIS 5 CH
DANDRUFF,KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE ,,,KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE 
DEAFNESS/HARDNESS OF HEARING,GIVE KALI MURIATICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X ,"GIVE KALI MURIATICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,CALCARIA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X "
DECALCIFICATION,,,,At wake-up : Silicea 7CH  5 granules. In the morning : Natrum Mur. 4CH At bedtime : Symphytum 5CH. On Sunday : Calcarea Phos. 9CH 1 dose  during 2 months. 
DELIRIUM,,,,For treating fever accompanied by delirium  the patient has to take 5 granules of Belladonna 15 to 30 CH every quarter of an hour.  If the person suffering from delirium is violent or is kicking  it is recommended to administrate him 3 granules of Belladona 9 CH  3 times per day. If the patient behaves as a mad person  yells and cries  it is necessary to calm these symptoms with Cantharis 9 CH  3 granules 3 times per day. If the patient presents delirium symptoms related to fear  5 granules of Cuprum metallicum 15 CH daily taken  can prove to be efficient. The person suffering from delirium may feel a presence when lying in his bed. In this case  3 granules of Petroleum 9 CH taken hourly  is the appropriate remedy. Besides  3 granules of Phosphoricum acidum 9 CH  2 times per day is the recommended treatment for the patient that presents symptoms of the calm delirium. The homeopath\u2019s remedy Hyoscyamus niger in dilution with 15 CH also treats delirium which manifests by a changing mood and paranoia. One dose of this medecine per week  during one month  can improve the patient\u2019s state.
DELIRIUM TREMENF,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 
DENTAL ABSCESS,,,,Belladonna 5CH in an amount of 3 granules  3 times per day.
DENTAL CARIES,,,,"See a dentist as soon as possible, and meanwhile, you can give 3 granules, 3 times a day of the following remedies: Calcarea Fluorica 9CH: in case tooth enamel is damaged Kreosotum 9CH: in case decayed teeth are black Mercurius Solubilis 9CH: in case decayed teeth are gray"
DENTAL DEVIATIONS,,,,"In case the permanent teeth do not grow straight, it is recommended to see a dentist. Until then: Calcarea Fluorica 12CH: 1 dose per week until installation of a device  Arnica Montana 12CH: 1 dose per week, during the whole period of treatment (when the recovery device is in place)"
DENTAL ERUPTION,,,,"The dental eruption can sometimes be accompanied by fever, agitated sleep, diarrhea, and/or loss of appetite, 3 granules, 3 times a day, of one or of the following remedies: Aconitum Napellus 9CH : fever Chamomilla Vulgaris 9CH : dental pain Chamomilla Vulgaris 9CH : red cheek Podophyllum Peltatum 9CH : diarrhea Chamomilla Vulgaris 9CH : cough or difficult respiration"
DENTAL GROWTH,,,,"The gum hardens and bulges out, a warm cheek (on the side where the tooth pushes), a grumpy, agitated child ...Chamomilla Vulgaris 9 CHGive 3 granules of each medicine, crushed in a clean cloth with a rolling pin, and put  the obtained powder on the baby\u2019s tongue, 3 times per day (in the morning, at lunchtime and in the evening), until healing. The infant\u2019s feverA rectal temperature above 38\u00b0C.Belladonna 9 CH in case of fever with sweating,Aconitum Napellus 9 CH in case of \u00ab dry \u00bb fever,Give one of the remedies, hourly : 3 granules (crushed in a clean cloth with a rolling pin, and put the obtained powder on the baby\u2019s tongue)."
DENTAL PAINS,,,,Arnica  Chamomilla and Coffea are used for treating pains after extraction.To accelerate recovery  take Hypericum 15 or 30CH  5 granules every two hours  spacing medication according to improvement. Pain forms :Arsenicum Album 7CH : pains improved by warm water.Chamomilla 9CH : very violent  unbearable painsCoffea 7CH : pains improved by cold waterMercurius Solubilis 9CH : pains improved by rubbing his cheeks.Staphysagria 9CH : tooth pains during menstruation.
DEPRESSIVE REACTION SYNDROME,,,,For treating  mild depressions following a bereavement or an annoyance  take 5 granules of Ignatia 9 CH after meals  3 times a day. For reducing an intellectual overwork and fighting against loss of memory  it is appropriate to take 5 granules of Kalium phosphoricum 9 CH. Arsenicum album 9 CH is adapted against anxiety. In this case  it is recommneded to take 5 granules  3 times per day  after meals. For regaining confidance and fighting against permanent feeling of failure  Aurun metallicum 9 CH is the adapted remedy  in an amount of 5 granules 3 times per day. For relieving hysterical crisis  take 5 granules of Ignatia 9 CH  3 times per day. Natrum muriaticum 9 CH is indicated for persons suffering from weight loss and excessive thirst.Other treatments :It happens that some of the depressive persons have troubles in crying and can not stand to be consoled. In this case  it is appropriate to take 5 granules of Natrum muriaticum 9 CH. If  on the contrary  they only feel better by being accompanied and consoled by the others  they can take 5 granules of Arsenicum album 9 CH in order to help them overcome this addiction. Those who become even more depressed when hearing music  can take 5 granules of Natrum sulfuricum 9 CH. In case the disorders can not be relieved only by eating  it is appropriate to take 5 granules of Anacardium orientale 9 CH.
DIABETES,CALCAREA PHOSPHORICA 3X  FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF PAIN IN NIGHT THEN TAKESILICEA 12X ,,"CALCAREA PHOSPHORICA 3X  FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF PAIN IN NIGHT THEN TAKESILICEA 12X ,"
DIABETES,,,,5 granules to suck at wake-up : Lycopodium 7CH and Sulfur 7CH. On Sunday : Phosphorus 7CH 1 dose during several months. Benign case:In the morning : alternate Uranium nitr. 5CH and Phosphoric Ac 5CH 5 granules.At bedtime : alternate Nux Vomica 5CH and Alloxane 5CH. On Sunday evening: Glycerine 7CH one dose of Insuline 9CH. On Thursday evening : Thuya 9CH to alternate with Natrum Sulf. 9CH
DIARRHEA,,,,3 granules to suck every quarter of an hour in case of a severe crisis  or 3 times per day in case the diarrhea is chronic. Remedies will be selected according to symptoms  schedules and procedures <ul>Aconit 7CH : after a chill on the belly.Antimonium Crudum 7CH : after food excess. Argentum Nitricum 9CH : after eating sugar or sweets. Arsenicum Album 7CH : food poisoning. Nux Vomica 7CH : after hair loss. Gelsemium 9CH : emotional diarrhea. Magnesia Muriatica 5CH : because of milk. Nux Vomica 5CH : after alcohol excess or abuse of laxatives. Pulsatilla 7CH : by fat foods or ice. Veratrum Album 7CH : by fruits. Croton 5CH : after taking antibiotics. <\/ul>According to schedules : <ul>At wake-up : Sulfur 5CHAfter meals (with gas and spasms) : Aloe 5CH.<\/ul>According to symptoms : <ul>Diarrhea worsened after meals : Natrum Sulfuricum 5CH. Diarrhea pulling the patient out of the bed : Sulfur 7CH. With cramps and cold sweats : Veratrum Album 5CH According to stools appearance. Mid solid and mid liquid stools : Antimonium Crudum 9CH.  Odorless  liquid  smelly  exhausting : China 5CH. Yellow with bile: Podophyllum 4CH. Discolored : Phosphoricum Acidum 7CH. According to simultaneous disorders. Diarrhea with involuntary stools  which you can not hold : Aloe 5CH. Very bad smelling stools : Arsenicum Album 5CH. With exhaustion after stool and painless : China 5CH. With pains improved when bending : Colocynthis 5CH. With burning stools and bilious vomiting: Iris Versicolor 5CH.<\/ul>
DIARRHEAS,,,,"10 granules to dissolve in a small quantity of water. CALCAREA CARBONICA 5CH : loves milk but can not tolerate it, slow digestion with regurgitation long after the meal . yellow, acid diarrhea ; big baby. IPECA 5CH : stools that turn green in the air. MAGNESIA CARBONICA 5CH : diarrhea immediately after meal, colics improved by abundant emission of gases ; green, acid stools irritating seat ; sour odor of the whole body. NATRUM PHOSPHORICUM 5CH : diarrhea with bloating in a hypotrophic baby."
DIARRHOEA,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,,,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUMSULPHURICUM 3X MIX IN WATER AND  GIVE MANY TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 
DIFFICULT DIGESTION,,,,Take 5 granules 3 times per day or more selected remedies  (before or after meals)  according to symptoms.Heaviness after meals: in case of a feeling of too full a stomach  with white tongue such as the milk spread over: Antimonium Crudum 7CH.of sensation of stone in the stomach : Bryonia 5CH.in case of a feeling of too full a stomach  with coated tongue in its posterior part : Nux Vomica 5CHBefore a frugal meal : Nux Vomica 5CH  5 granules half an hour before .
DILATATION OF HEART,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X .AVOID OILY FOOD,,,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X .AVOID OILY FOOD
DISLOCATION OF BONE,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MIX AND TAKE ,,"CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X MIX AND TAKE ,"
DRY ECZEMA,,,,"ALUMINA 5CH : dry, wrinkled, cracked skin, heat rashes with violent itching. ANTIMONIUM CRUDUM 5CH : hyperkeratotic fissured eczema, sometimes with small crusts. ARSENICUM ALBUM 5CH : scaly skin with small whitish scales like a deposit of flour, with burning itching improved by warm applications. BERBERIS 5CH : vine eczema with burning itching aggravated by scraping and dissappearing to the centre. HYDROCOTYLE 5CH : dry eczema with thickening of the skin and unbearable itching. NITRICUM ACIDUM 5CH : fissured eczema with stinging pains, the bottom of cracks tending to bleed, the skin is often yellowish around lesions. PETROLEUM 5CH : cracked, fissured skin, itching worse at night and aggravated in winter time. SULFUR 7CH : red, burning eruption, alternanting with other symptoms, lesions are aggravated by water and the warmth of bed"
DYSENTRY,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF DONT GET RELIEF IN 12 HOURS THEN TAKE ONLYCALCAREA  SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF DONT GET RELIEF IN 12 HOURS THEN TAKE ONLYCALCAREA  SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,"
DYSPEPSIA,CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURSIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X ,,"CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 3-3 HOURSIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM PHOSPHORICUM 3X SILICEA 12X ,"
EAR DISCHARGE FROM,CALCAREA PHOSPHORICA 3X OR 12X  CALCAREA  SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X  CALCAREA  SULPHURICUM 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA MIX AND TAKE 
EARACHE,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,"CALCAREA PHOSPHORICA 3X OR 12X CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM SULPHURICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,"
EASY CHILDBIRTH,,,," In case you are pregnant, in your last months, it is recommended to take CAULOPHYLLUM 5CH as a preventive treatment, in an amount of 5 granules per day. These granules will allow you to relax  your uterine cervix, in order to facilitate your delivery."
ECZEMA,,,,Take 5 granules 2 times per day. According to the cause : Big eaters : Antimonium Crudum 7CH After vaccination : Mezereum 5CH + basic treatment : Thuya 15CH 1 dose on Sunday evening. According to symptoms : 1) Aggravation.aggravated by the sea  by the sun : Natrum Muriaticum 7CHaggravated in wintertime : Petroleum 7CH aggravated by water : Sulfur 7CH 2) Improvement. Improved by heat : Arsenicum Album 7CH. Improved by cold : Sulfur 7CH. According to appearance. Pink eczema : Apis 7CH Dry fine powder: Arsenicum Album 5CH Dry with large scales: Arsenicum Iodatum 7CH With red skin : Belladonna 5CH With large bubbles: Cantharis 7CH With sweating : Graphites 5CH et Pix liquida 5CH With crusts : Mezereum 5CH With bloody cracks: Nitricum Acidum 7CH With vesicles : Rhus Toxicodendron 9CH. In case of dyshidrosis : Rhux Vernix 7CH. According to placement :Anus : Berberis 5CH. Genital parts : Crotum tiglium 7CH. Mouth (the round of the Mouth) : Sepia 5CH. Elbow (fold) : Berberis Vulgaris 5CH. Forehead : Natrum Muriaticum 5CH Wrist and Chin : Primula obsconica 5CH. Behind ears : Graphites 7CH In the ear canal : Psorinum 7CH Foot horn : Antimonium crudum 9CH. Palms : Anagallis 7CH
EISONOPHILIA,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X FERRUM PHOSPHORICUM 12X NATRUM PHOSPHORICUM 3X MIX AND TAKE 
EMPHYSEMA,CALCARIA FLOURIDE 3X SILICEA 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA SULPHURICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X SILICEA 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X FERRUM PHOSPHORICUM 12X CALCAREA SULPHURICUM 3X CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE 
ENDOCARDITIS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X MIX AND TAKE ,,"FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM MURIATICUM 3X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCARIA SULPHURICUM 3X MIX AND TAKE ,"
ENT DISORDERS,,,,In case of a cold with sneezing  the prescribed dose of Nux vomica is 5 granules per hour for a dilution of 5 CH. The dose is to be reduced according to the improvement of the patient\u2019s state. An allergic cold is treated with Nux vomica 15 CH in an amount of 5 granules at bedtime. This dose will have to be repeated at each crisis.
ENURESIS (BEDWETTING),,,,"In case the pee occurs early in the night:AUSTICUM 15CH : One time at bedtime.CHLORALUM 15CH : the sleep is very profound, and the wet bed does not wake up the baby.KREOSOTUM 9CH : the child dreams he is urinating, the first sleep is very profound. One time at bedtime.SEPIA 9CH : the urine has a strong odor. One time at bedtime.In case the pee occurs in late night :BELLADONNA 9CH et CHRORALLUM 15CH : the child speaks and uncovers himself while sleeping. One time at bedtime."
EPILEPSY,KALI MURIATICUM 3X 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,,"KALI MURIATICUM 3X 4TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 3 ,"
EPILEPSY,,,,"At wake-up : 3 granules of Cicuta Virosa 7CH, and of Oenanthe Crotata 7CH.  At lunchtime : Agaricus 7CH, Hyoscyamus 9CH.  At bedtime : Zincum Valerianicum 7CH, Metaldehyde 7CH.  On Sunday evening : Coriaria myrtifolia 9CH : 1 dose per week.  In case it occurs during night : Bufo 7CH / 3 granules in the morning and in the evening."
ERYSIPELAS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM SULPHURICUM 3X CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE ,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X NATRUM SULPHURICUM 3X CALCARIA FLOURIDE 3X KALI SULPHURICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE 
EXCESSIVE SWEATING,,,,Take 3 granules 3 times per day. According to symptoms. While falling asleep  Calcarea Carbonica 7CH. Obesity  Calcarea Carbonica 9CH. At the slightest exercise  China 5CH. After a severe illness (infectious)  China 5CH. After meals : Natrum Muriaticum 5CH. After fear : Opium 9CH. Aggravation at night  Mercurius solubilis 5CH. Aggravation within an overheated room  Pulsatilla 7CH. Hot sweats : Chamomilla 5CH. Sweats that exhaust: China 7CH. With salt elimination  : Natrum Muriaticum 9CH Bad odor. During fever : Mercurius solubilis 7CH. under the arms : Sepia 5CH.legs : Silicea 7CH en dose. Of the body : Thuya 9CH en dose Depending on the cause. At menopause : Pilocarpus 9CH. while waking up : Sambucus Nigra 5CH. emotional sweating : Cyclamen 7CH. during menstruation : Veratrum Album 7CH
"EXHAUSTION\/WEAKNESS,COLLAPSE",CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X MIX IN WATER AND TAKE,,,CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X MIX IN WATER AND TAKE
"FAINTNESS, DISCOMFORT, DIZZINESS",,,,Lipothymie vagale : The fact of being in a confined space can cause faintness. This sometimes happens when body lacks oxygen or when metabolism is not functioning properly. For treating discomfort  a medication of five granules of Pulsatilla 9 CH is recommended  to be repeated until improvement. But in case faintness occurs after a suffocating heat  Antimonium 9 CH is the most appropriate remedy. Five granules must be taken and must be repeated until improvement. Finally  when faintness is caused by sunstroke  a medication of five granules of Glonoinum 9 CH is indicated.Faintness caused by a decrease in blood pressure : In case the discomfort is accompanied by pallor  sweat and an exhaustion feeling  five granules of China 5 CH taken two times a day  is the most appropriate remedy Faintness caused by an emotional shock : In case the discomfort is characterized by a sensation of tingling prior to a crisis of hysteria or hyperventilation  Moschus 7 CH is indicated. But in case faintness is followed by a fainting  Ignatia 9 CH is often prescribed.Sometimes  emotion causes to the patient a significant weakening accompanied by a feeling of emptiness. In this case  a medication of Gelsemium 7 CH is prescribed  especially if the discomfort  causes muscle weakness in the legs. For all these remedies  5 granules of each have to be taken at regular time periods until improvement.
FALLING OF HAIR,CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER AND TAKE AT THE GAP OF 4-4 HOURS.,,,CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER AND TAKE AT THE GAP OF 4-4 HOURS.
FEAR,KALI PHOSPHORICUM 3X ,,,KALI PHOSPHORICUM 3X 
FEVER,"FERRUM PHOS 12X,KALI MUR 3X , NAT SULF 3X MIX AND TAKE ,REPEAT AFTER 2 HRS IF AFTER 14 HRS NO EFFECT TRY REMEDY 2","CALC FLOR 3X,CALC PHOS 3X OR 12X ,FERUM PHOS 12X ,KALI MUR 3X , KALI PHOS 3X,NAT SULF 3X ,SIL 12X MIX AND REPEAT  EVERY 2 HRS TILL 24 HRS IF THIS ALSO FAILS TRY REMEDY 3","CALC SULF 3X,NAT MUR 3X MIX AND REPEAT AFTER EVERY TWO HOURS ","FERRUM PHOS 12X,KALI MUR 3X , NAT SULF 3X MIX AND TAKE ,REPEAT AFTER 2 HRS IF AFTER 14 HRS NO EFFECT TRY REMEDY 2,CALC FLOR 3X,CALC PHOS 3X OR 12X ,FERUM PHOS 12X ,KALI MUR 3X , KALI PHOS 3X,NAT SULF 3X ,SIL 12X MIX AND REPEAT  EVERY 2 HRS TILL 24 HRS IF THIS ALSO FAILS TRY REMEDY 3,CALC SULF 3X,NAT MUR 3X MIX AND REPEAT AFTER EVERY TWO HOURS "
